ID,Date,Team,Acquired,Relinquished,Notes
28409,02/12/2018,Mavericks,, Maximilian Kleber / Maxi Kleber,placed on IL with sore right knee
28410,02/12/2018,Pelicans, Frank Jackson,,activated from IL
28411,03/12/2018,Hawks,, Tyler Dorsey,placed on IL
28412,03/12/2018,Knicks,, Trey Burke,placed on IL with sprained right knee
28413,03/12/2018,Pistons, Luke Kennard,,activated from IL
28414,03/12/2018,Thunder, Terrance Ferguson,,activated from IL
28415,03/12/2018,Warriors,, Damian Jones,placed on IL with torn pectoral muscle
28416,03/12/2018,Nets, Joe Harris,,activated from IL
28417,04/12/2018,Blazers,, Gary Trent Jr.,placed on IL
28418,04/12/2018,Mavericks, Luka Doncic,,activated from IL
28419,04/12/2018,Pacers, Alize Johnson,,activated from IL
28420,04/12/2018,Suns,, Devin Booker,placed on IL with strained left hamstring
28421,04/12/2018,Mavericks, Maximilian Kleber / Maxi Kleber,,activated from IL
28422,05/12/2018,76ers,, Shake Milton,placed on IL
28423,05/12/2018,76ers, Jonah Bolden,,activated from IL
28424,05/12/2018,76ers, Wilson Chandler,,activated from IL
28425,05/12/2018,Bucks, D.J. Wilson,,activated from IL
28426,05/12/2018,Cavaliers,, Ante Zizic,placed on IL with left knee injury
28427,05/12/2018,Grizzlies, Yuta Watanabe,,activated from IL
28428,05/12/2018,Hawks,, Taurean Prince,placed on IL with left ankle injury
28429,05/12/2018,Hawks, Tyler Dorsey,,activated from IL
28430,05/12/2018,Hornets,, Marvin Williams,placed on IL with strained right shoulder
28431,05/12/2018,Hornets, Cody Zeller,,activated from IL
28432,05/12/2018,Mavericks,, Dennis Smith Jr.,placed on IL with sprained right wrist
28433,05/12/2018,Mavericks,, Salah Mejri,placed on IL with sore left knee
28434,05/12/2018,Nets,, Dzanan Musa,placed on IL
28435,05/12/2018,Nuggets,, Gary Harris,placed on IL with right hip injury
28436,05/12/2018,Pelicans,, Frank Jackson,placed on IL
28437,05/12/2018,Pistons,, Reggie Bullock,placed on IL with sprained left ankle
28438,05/12/2018,Raptors,, Malachi Richardson,placed on IL with illness
28439,06/12/2018,Blazers,, C.J. McCollum,placed on IL with sprained left ankle
28440,06/12/2018,Blazers, Gary Trent Jr.,,activated from IL
28441,06/12/2018,Celtics,, Robert Williams III,placed on IL
28442,06/12/2018,Celtics, Jaylen Brown,,activated from IL
28443,06/12/2018,Rockets,, Isaiah Hartenstein,placed on IL
28444,07/12/2018,76ers,, Joel Embiid,placed on IL
28445,07/12/2018,Bucks, Ersan Ilyasova,,activated from IL
28446,07/12/2018,Cavaliers, Ante Zizic,,activated from IL
28447,07/12/2018,Grizzlies,, Ivan Rabb,placed on IL
28448,07/12/2018,Grizzlies,, Yuta Watanabe,placed on IL
28449,07/12/2018,Heat, Goran Dragic,,activated from IL
28450,07/12/2018,Hornets,, Bismack Biyombo,placed on IL
28451,07/12/2018,Hornets, Marvin Williams,,activated from IL
28452,07/12/2018,Kings, Marvin Bagley III,,activated from IL
28453,07/12/2018,Lakers,, Brandon Ingram,placed on IL with sprained left ankle
28454,07/12/2018,Pacers,, Domantas Sabonis,placed on IL with illness
28455,07/12/2018,Pistons,, Ishmael Smith / Ish Smith,placed on IL with right adductor injury
28456,07/12/2018,Raptors, Malachi Richardson,,activated from IL
28457,07/12/2018,Bucks,, Matthew Dellavedova,placed on IL
28458,07/12/2018,Cavaliers,, George Hill,placed on IL
28459,08/12/2018,Blazers,, Gary Trent Jr.,placed on IL
28460,08/12/2018,Blazers, C.J. McCollum,,activated from IL
28461,08/12/2018,Celtics,, Aron Baynes,placed on IL with sprained left ankle
28462,08/12/2018,Grizzlies, Chandler Parsons,,activated from IL
28463,08/12/2018,Hawks,, Miles Plumlee,placed on IL with left knee injury
28464,08/12/2018,Hawks,, Omari Spellman,placed on IL with right hip injury
28465,08/12/2018,Hawks, Jaylen Adams,,activated from IL
28466,08/12/2018,Kings,, Iman Shumpert,placed on IL
28467,08/12/2018,Mavericks,, Maximilian Kleber / Maxi Kleber,placed on IL with left big toe injury
28468,08/12/2018,Mavericks, Salah Mejri,,activated from IL
28469,08/12/2018,Nuggets,, Paul Millsap,placed on IL with right big toe injury
28470,08/12/2018,Pacers, Domantas Sabonis,,activated from IL
28471,08/12/2018,Timberwolves,, Robert Covington,placed on IL with sore right knee
28472,09/12/2018,Bucks,, D.J. Wilson,placed on IL
28473,09/12/2018,Hornets, Bismack Biyombo,,activated from IL
28474,09/12/2018,Pistons,, Stanley Johnson,placed on IL with bruised left knee
28475,10/12/2018,76ers,, Jonah Bolden,placed on IL
28476,10/12/2018,76ers, Joel Embiid,,activated from IL
28477,10/12/2018,76ers, Shake Milton,,activated from IL
28478,10/12/2018,Bucks, D.J. Wilson,,activated from IL
28479,10/12/2018,Bucks, George Hill,,activated from IL
28480,10/12/2018,Bulls, Kris Dunn,,activated from IL
28481,10/12/2018,Cavaliers, Matthew Dellavedova,,activated from IL
28482,10/12/2018,Celtics,, Al Horford,placed on IL with sore left knee
28483,10/12/2018,Celtics,, Gordon Hayward,placed on IL with illness
28484,10/12/2018,Celtics,, Guerschon Yabusele,placed on IL with sprained right ankle
28485,10/12/2018,Celtics,, Kyrie Irving,placed on IL with sore right shoulder
28486,10/12/2018,Celtics, Robert Williams III,,activated from IL
28487,10/12/2018,Grizzlies,, Chandler Parsons,placed on IL
28488,10/12/2018,Kings, Iman Shumpert,,activated from IL
28489,10/12/2018,Magic, Melvin Frazier Jr.,,activated from IL
28490,10/12/2018,Mavericks, Maximilian Kleber / Maxi Kleber,,activated from IL
28491,10/12/2018,Pelicans,, E'Twaun Moore,placed on IL with lower leg injury
28492,10/12/2018,Suns, T.J. Warren,,activated from IL
28493,10/12/2018,Timberwolves, Robert Covington,,activated from IL
28494,10/12/2018,Warriors, Draymond Green,,activated from IL
28495,10/12/2018,Wizards, Sam Dekker,,activated from IL
28496,10/12/2018,Celtics, Aron Baynes,,activated from IL
28497,11/12/2018,Raptors,, Kawhi Leonard,placed on IL with right hip injury
28498,11/12/2018,Rockets, Isaiah Hartenstein,,activated from IL
28499,12/12/2018,76ers,, Jimmy Butler,placed on IL with strained groin
28500,12/12/2018,Blazers,, Maurice Harkless / Moe Harkless,placed on IL
28501,12/12/2018,Blazers, Gary Trent Jr.,,activated from IL
28502,12/12/2018,Bucks,, D.J. Wilson,placed on IL
28503,12/12/2018,Cavaliers,, Tristan Thompson,placed on IL with sprained left foot (DTD)
28504,12/12/2018,Cavaliers, David Nwaba,,activated from IL
28505,12/12/2018,Celtics, Kyrie Irving,,activated from IL
28506,12/12/2018,Grizzlies, Chandler Parsons,,activated from IL
28507,12/12/2018,Grizzlies, Ivan Rabb,,activated from IL
28508,12/12/2018,Hornets,, Devonte' Graham,placed on IL
28509,12/12/2018,Jazz,, Raulzinho Neto / Raul Neto,placed on IL with right thigh injury
28510,12/12/2018,Knicks,, Allonzo Trier,placed on IL with strained left hamstring
28511,12/12/2018,Knicks,, Courtney Lee,placed on IL
28512,12/12/2018,Pacers,, Edmond Sumner,placed on IL
28513,12/12/2018,Pacers, Victor Oladipo,,activated from IL
28514,12/12/2018,Pelicans,, Nikola Mirotic,placed on IL with right ankle injury
28515,12/12/2018,Pelicans, Frank Jackson,,activated from IL
28516,12/12/2018,Pistons,, Henry Ellenson,placed on IL with sprained left ankle
28517,12/12/2018,Pistons, Stanley Johnson,,activated from IL
28518,12/12/2018,Rockets,, James Ennis III,placed on IL with strained right hamstring
28519,12/12/2018,Warriors,, Andre Iguodala,placed on IL with right hip injury
28520,12/12/2018,Wizards,, Otto Porter Jr.,placed on IL with bruised right knee / right quadriceps injury
28521,13/12/2018,Bulls,, Chandler Hutchison,placed on IL with illness
28522,13/12/2018,Clippers,, Louis Williams / Lou Williams,placed on IL with left hamstring injury
28523,13/12/2018,Magic,, Melvin Frazier Jr.,placed on IL
28524,13/12/2018,Mavericks,, Jose Juan Barea / Jose Barea / J.J. Barea,placed on IL with sprained left ankle
28525,13/12/2018,Mavericks, Dennis Smith Jr.,,activated from IL
28526,13/12/2018,Rockets,, Isaiah Hartenstein,placed on IL
28527,13/12/2018,Rockets, Brandon Knight,,activated from IL
28528,14/12/2018,76ers, Jonah Bolden,,activated from IL
28529,14/12/2018,Blazers,, Gary Trent Jr.,placed on IL
28530,14/12/2018,Blazers, Maurice Harkless / Moe Harkless,,activated from IL
28531,14/12/2018,Bucks,, Malcolm Brogdon,placed on IL with left hamstring injury
28532,14/12/2018,Celtics, Gordon Hayward,,activated from IL
28533,14/12/2018,Grizzlies,, Chandler Parsons,placed on IL
28534,14/12/2018,Grizzlies, Yuta Watanabe,,activated from IL
28535,14/12/2018,Heat,, Goran Dragic,placed on IL with sore right knee
28536,14/12/2018,Hornets,, Bismack Biyombo,placed on IL
28537,14/12/2018,Hornets, Devonte' Graham,,activated from IL
28538,14/12/2018,Knicks, Courtney Lee,,activated from IL
28539,14/12/2018,Nets,, Allen Crabbe,placed on IL with sore right knee
28540,14/12/2018,Nets, Dzanan Musa,,activated from IL
28541,14/12/2018,Raptors,, Jonas Valanciunas,placed on IL with left thumb injury
28542,14/12/2018,Raptors, Chris Boucher,,activated from IL
28543,14/12/2018,Raptors, Kawhi Leonard,,activated from IL
28544,14/12/2018,Warriors,, Shaun Livingston,placed on IL with bruised pelvis
28545,15/12/2018,Bulls,, Zach LaVine,placed on IL with left ankle injury
28546,15/12/2018,Bulls, Chandler Hutchison,,activated from IL
28547,15/12/2018,Grizzlies,, Kyle Anderson,placed on IL with sprained left ankle
28548,15/12/2018,Jazz, Raulzinho Neto / Raul Neto,,activated from IL
28549,15/12/2018,Pistons,, Zaur Pachulia / Zaza Pachulia,placed on IL with illness
28550,15/12/2018,Pistons, Reggie Bullock,,activated from IL
28551,15/12/2018,Rockets, Isaiah Hartenstein,,activated from IL
28552,15/12/2018,Suns,, Trevor Ariza,placed on IL
28553,15/12/2018,Suns, Devin Booker,,activated from IL
28554,16/12/2018,76ers, Jimmy Butler,,activated from IL
28555,16/12/2018,Kings,, Marvin Bagley III,placed on IL with left knee injury
28556,16/12/2018,Knicks,, Mitchell Robinson,"placed on IL with left ankle, groin injury"
28557,16/12/2018,Knicks, Lance Thomas,,activated from IL
28558,16/12/2018,Knicks, Trey Burke,,activated from IL
28559,16/12/2018,Mavericks,, Dennis Smith Jr.,placed on IL with sprained right wrist
28560,16/12/2018,Nets,, Dzanan Musa,placed on IL with left shoulder subluxation
28561,16/12/2018,Nets, Treveon Graham,,activated from IL
28562,16/12/2018,Pacers,, Tyreke Evans,placed on IL with bruised right knee
28563,16/12/2018,Pelicans, E'Twaun Moore,,activated from IL
28564,16/12/2018,Raptors,, Fred VanVleet,placed on IL with sore lower back
28565,16/12/2018,Raptors,, Kyle Lowry,placed on IL with left thigh injury
28566,16/12/2018,Wizards,, Austin Rivers,placed on IL
28567,16/12/2018,Wizards,, Kelly Oubre Jr.,placed on IL
28568,16/12/2018,Wizards, Jordan McRae,,activated from IL
28569,17/12/2018,Bucks,, Ersan Ilyasova,placed on IL with fractured nose
28570,17/12/2018,Bucks, D.J. Wilson,,activated from IL
28571,17/12/2018,Bulls,, Jabari Parker,placed on IL with stomach illness
28572,17/12/2018,Grizzlies,, Mike Conley Jr.,placed on IL with left hamstring injury
28573,17/12/2018,Grizzlies, Kyle Anderson,,activated from IL
28574,17/12/2018,Kings, Skal Labissiere,,activated from IL
28575,17/12/2018,Pistons, Zaur Pachulia / Zaza Pachulia,,activated from IL
28576,17/12/2018,Rockets,, Isaiah Hartenstein,placed on IL
28577,17/12/2018,Warriors, Andre Iguodala,,activated from IL
28578,17/12/2018,Warriors, Shaun Livingston,,activated from IL
28579,18/12/2018,Mavericks,, Maximilian Kleber / Maxi Kleber,placed on IL with toe injury
28580,18/12/2018,Mavericks, Jose Juan Barea / Jose Barea / J.J. Barea,,activated from IL
28581,18/12/2018,Pacers,, Alize Johnson,placed on IL
28582,18/12/2018,Pacers, Tyreke Evans,,activated from IL
28583,18/12/2018,Wizards, Trevor Ariza,,activated from IL
28584,19/12/2018,76ers,, Jonah Bolden,placed on IL
28585,19/12/2018,Bucks,, Jaylen Morris,placed on IL
28586,19/12/2018,Bucks, Malcolm Brogdon,,activated from IL
28587,19/12/2018,Celtics,, Marcus Morris,placed on IR with sore right knee
28588,19/12/2018,Grizzlies,, Joakim Noah,placed on IL with right heel injury
28589,19/12/2018,Grizzlies,, Yuta Watanabe,placed on IL
28590,19/12/2018,Grizzlies, Chandler Parsons,,activated from IL
28591,19/12/2018,Grizzlies, Mike Conley Jr.,,activated from IL
28592,19/12/2018,Kings,, Harry Giles III,placed on IL
28593,19/12/2018,Pelicans,, Julius Randle,placed on IL with sprained right ankle
28594,19/12/2018,Raptors, Fred VanVleet,,activated from IL
28595,19/12/2018,Rockets, Isaiah Hartenstein,,activated from IL
28596,19/12/2018,Suns, Kelly Oubre Jr.,,activated from IL
28597,19/12/2018,Timberwolves,, Jeff Teague,placed on IL with left ankle injury
28598,19/12/2018,Timberwolves, Jerryd Bayless,,activated from IL
28599,20/12/2018,Clippers, Louis Williams / Lou Williams,,activated from IL
28600,20/12/2018,Mavericks, Maximilian Kleber / Maxi Kleber,,activated from IL
28601,20/12/2018,Rockets,, Isaiah Hartenstein,placed on IL
28602,21/12/2018,Celtics,, Aron Baynes,placed on IL with fractured left hand
28603,21/12/2018,Celtics, Guerschon Yabusele,,activated from IL
28604,21/12/2018,Grizzlies,, Chandler Parsons,placed on IL
28605,21/12/2018,Grizzlies, Yuta Watanabe,,activated from IL
28606,21/12/2018,Lakers, Brandon Ingram,,activated from IL
28607,21/12/2018,Lakers, Rajon Rondo,,activated from IL
28608,21/12/2018,Magic,, Jonathon Simmons,placed on IL with sprained right ankle
28609,21/12/2018,Pelicans, Julius Randle,,activated from IL
28610,22/12/2018,76ers,, Wilson Chandler,placed on IL with bruised left quadricep
28611,22/12/2018,76ers, Jonah Bolden,,activated from IL
28612,22/12/2018,Raptors,, Kawhi Leonard,placed on IL
28613,22/12/2018,Raptors, Kyle Lowry,,activated from IL
28614,22/12/2018,Rockets,, Chris Paul,placed on IL with strained left hamstring
28615,22/12/2018,Warriors,, Jacob Evans,placed on IL with left foot injury
28616,23/12/2018,Bulls, Jabari Parker,,activated from IL
28617,23/12/2018,Cavaliers,, Rodney Hood,placed on IL with left Achilles injury
28618,23/12/2018,Celtics, Al Horford,,activated from IL
28619,23/12/2018,Celtics, Marcus Morris,,activated from IL
28620,23/12/2018,Grizzlies,, Omri Casspi,placed on IL with illness
28621,23/12/2018,Grizzlies, Dillon Brooks,,activated from IL
28622,23/12/2018,Hawks,, John Collins (Martin),placed on IL with sprained left ankle
28623,23/12/2018,Hawks, Alex Poythress,,activated from IL
28624,23/12/2018,Heat,, Rodney McGruder,placed on IL with stomach illness
28625,23/12/2018,Kings, Harry Giles III,,activated from IL
28626,23/12/2018,Magic, Jonathon Simmons,,activated from IL
28627,23/12/2018,Pacers,, Tyreke Evans,placed on IL with bruised right knee
28628,23/12/2018,Timberwolves,, Derrick Rose,placed on IL with sore left ankle
28629,25/12/2018,76ers, Wilson Chandler,,activated from IL
28630,25/12/2018,Bucks, Donte DiVincenzo,,activated from IL
28631,25/12/2018,Knicks, Allonzo Trier,,activated from IL
28632,25/12/2018,Rockets, Austin Rivers,,activated from IL
28633,25/12/2018,Rockets, Isaiah Hartenstein,,activated from IL
28634,26/12/2018,Bulls, Zach LaVine,,activated from IL
28635,26/12/2018,Cavaliers,, David Nwaba,placed on IL with sprained left ankle
28636,26/12/2018,Cavaliers, Rodney Hood,,activated from IL
28637,26/12/2018,Grizzlies,, Yuta Watanabe,placed on IL
28638,26/12/2018,Grizzlies, Joakim Noah,,activated from IL
28639,26/12/2018,Grizzlies, Omri Casspi,,activated from IL
28640,26/12/2018,Hawks,, Jaylen Adams,placed on IL
28641,26/12/2018,Hawks, John Collins (Martin),,activated from IL
28642,26/12/2018,Hawks, Omari Spellman,,activated from IL
28643,26/12/2018,Heat, Rodney McGruder,,activated from IL
28644,26/12/2018,Nets,, Treveon Graham,placed on IL
28645,26/12/2018,Pacers, Tyreke Evans,,activated from IL
28646,26/12/2018,Raptors,, Chris Boucher,placed on IL
28647,26/12/2018,Raptors,, Kyle Lowry,placed on IL with sore lower back
28648,26/12/2018,Raptors, Kawhi Leonard,,activated from IL
28649,26/12/2018,Timberwolves, Derrick Rose,,activated from IL
28650,26/12/2018,Wizards,, Jordan McRae,placed on IL
28651,27/12/2018,76ers,, 76ers,placed on IL
28652,27/12/2018,Celtics,, Robert Williams III,placed on IL with strained left groin
28653,27/12/2018,Knicks,, Tim Hardaway Jr.,placed on IL with illness
28654,27/12/2018,Lakers,, LeBron James,placed on IL with strained left groin
28655,27/12/2018,Lakers,, Rajon Rondo,placed on IL with right finger injury
28656,27/12/2018,Rockets,, Isaiah Hartenstein,placed on IL
28657,27/12/2018,Warriors, Jacob Evans,,activated from IL
28658,28/12/2018,Mavericks,, Wesley Matthews / Wes Matthews Jr.,placed on IL with sore right foot
28659,28/12/2018,Mavericks, Dennis Smith Jr.,,activated from IL
28660,28/12/2018,Nets, Treveon Graham,,activated from IL
28661,28/12/2018,Raptors, Chris Boucher,,activated from IL
28662,28/12/2018,Spurs, Pau Gasol,,activated from IL
28663,28/12/2018,Thunder,, Alex Abrines,placed on IL with illness
28664,28/12/2018,Wizards,, John Wall (Hildred),placed on IL with torn left Achilles tendon (out for season)
28665,28/12/2018,Wizards,, Markieff Morris,placed on IL with stiff neck
28666,28/12/2018,Wizards, Jordan McRae,,activated from IL
28667,29/12/2018,Grizzlies,, Ivan Rabb,placed on IL
28668,29/12/2018,Hawks,, Dewayne Dedmon,placed on IL with sore left knee
28669,29/12/2018,Hawks,, Omari Spellman,placed on IL
28670,29/12/2018,Hawks, Miles Plumlee,,activated from IL
28671,29/12/2018,Hornets,, (William) Tony Parker,placed on IL
28672,29/12/2018,Hornets, Bismack Biyombo,,activated from IL
28673,29/12/2018,Jazz,, Jae Crowder,placed on IL with left thumb injury
28674,29/12/2018,Jazz,, Ricky Rubio,placed on IL with bruised lower back
28675,29/12/2018,Knicks, Tim Hardaway Jr.,,activated from IL
28676,29/12/2018,Nuggets, Paul Millsap,,activated from IL
28677,29/12/2018,Pelicans,, Darius Miller,placed on IL with illness
28678,29/12/2018,Wizards,, Jordan McRae,placed on IL
28679,29/12/2018,Wizards, Markieff Morris,,activated from IL
28680,29/12/2018,Rockets,, Brandon Knight,placed on IL
28681,30/12/2018,Blazers,, Maurice Harkless / Moe Harkless,placed on IL with left knee injury
28682,30/12/2018,Timberwolves,, Derrick Rose,placed on IL with sprained right ankle
28683,31/12/2018,Hawks,, Kent Bazemore,placed on IL with sprained right ankle
28684,31/12/2018,Hornets, (William) Tony Parker,,activated from IL
28685,31/12/2018,Magic,, Jonathon Simmons,placed on IL with sprained left ankle
28686,31/12/2018,Mavericks, Wesley Matthews / Wes Matthews Jr.,,activated from IL
28687,31/12/2018,Pelicans,, Frank Jackson,placed on IL
28688,31/12/2018,Pelicans, Darius Miller,,activated from IL
28689,31/12/2018,Pelicans, Elfrid Payton,,activated from IL
28690,31/12/2018,Rockets,, Eric Gordon,placed on IL with bruised right knee
28691,31/12/2018,Rockets, Brandon Knight,,activated from IL
28692,31/12/2018,Suns,, Richaun Holmes,placed on IL with illness
28693,31/12/2018,Warriors,, Jacob Evans,placed on IL
28694,01/01/2019,Blazers, Gary Trent Jr.,,activated from IL
28695,01/01/2019,Blazers, Maurice Harkless / Moe Harkless,,activated from IL
28696,01/01/2019,Jazz, Jae Crowder,,activated from IL
28697,01/01/2019,Jazz, Ricky Rubio,,activated from IL
28698,01/01/2019,Nuggets, Gary Harris,,activated from IL
28699,02/01/2019,76ers,, Jimmy Butler,placed on IL with upper respiratory infection
28700,02/01/2019,Cavaliers,, Ante Zizic,placed on IL
28701,02/01/2019,Cavaliers, Tristan Thompson,,activated from IL
28702,02/01/2019,Celtics,, Kyrie Irving,placed on IL with right eye injury
28703,02/01/2019,Grizzlies, Ivan Rabb,,activated from IL
28704,02/01/2019,Hawks,, Alex Poythress,placed on IL
28705,02/01/2019,Hawks, Dewayne Dedmon,,activated from IL
28706,02/01/2019,Heat, Dion Waiters,,activated from IL
28707,02/01/2019,Hornets,, Cody Zeller,placed on IL with fractured right hand
28708,02/01/2019,Nets,, Treveon Graham,placed on IL
28709,02/01/2019,Pelicans, Frank Jackson,,activated from IL
28710,02/01/2019,Suns, Richaun Holmes,,activated from IL
28711,02/01/2019,Timberwolves,, Robert Covington,placed on IL with right knee injury (out for season)
28712,02/01/2019,Wizards,, Markieff Morris,placed on IL with neck injury
28713,02/01/2019,Wizards, Otto Porter Jr.,,activated from IL
28714,03/01/2019,Raptors,, Malachi Richardson,placed on IL
28715,03/01/2019,Raptors, Kyle Lowry,,activated from IL
28716,03/01/2019,Rockets, James Ennis III,,activated from IL
28717,03/01/2019,Warriors, Jacob Evans,,activated from IL
28718,04/01/2019,Bucks,, Donte DiVincenzo,placed on IL with sore right ankle/heel
28719,04/01/2019,Bucks, Ersan Ilyasova,,activated from IL
28720,04/01/2019,Celtics,, Marcus Morris,placed on IL with neck injury
28721,04/01/2019,Magic, Jonathon Simmons,,activated from IL
28722,04/01/2019,Nets, Treveon Graham,,activated from IL
28723,04/01/2019,Timberwolves, Jeff Teague,,activated from IL
28724,05/01/2019,76ers,, Wilson Chandler,placed on IL with upper respiratory infection
28725,05/01/2019,76ers, Shake Milton,,activated from IL
28726,05/01/2019,Kings,, Iman Shumpert,placed on IL with right index finger injury
28727,05/01/2019,Mavericks,, Jose Juan Barea / Jose Barea / J.J. Barea,placed on IL with sore left ankle
28728,06/01/2019,Hawks,, Miles Plumlee,placed on IL with left knee injury (out for season)
28729,06/01/2019,Hawks, Omari Spellman,,activated from IL
28730,06/01/2019,Pacers,, Myles Turner,placed on IL with sore right shoulder
28731,06/01/2019,Raptors,, Kawhi Leonard,placed on IL
28732,07/01/2019,Bucks,, D.J. Wilson,placed on IL
28733,07/01/2019,Celtics, Kyrie Irving,,activated from IL
28734,07/01/2019,Celtics, Marcus Morris,,activated from IL
28735,07/01/2019,Celtics, Robert Williams III,,activated from IL
28736,07/01/2019,Grizzlies,, Dillon Brooks,placed on IL with toe injury (out for season)
28737,07/01/2019,Grizzlies, Yuta Watanabe,,activated from IL
28738,07/01/2019,Jazz,, Dante Exum,placed on IL with sprained left ankle
28739,07/01/2019,Jazz,, Thabo Sefolosha,placed on IL with strained right hamstring
28740,07/01/2019,Kings, Marvin Bagley III,,activated from IL
28741,07/01/2019,Knicks,, Frank Ntilikina,placed on IL with sprained left ankle
28742,07/01/2019,Mavericks,, Salah Mejri,placed on IL
28743,07/01/2019,Mavericks, Jose Juan Barea / Jose Barea / J.J. Barea,,activated from IL
28744,07/01/2019,Nets,, Joe Harris,placed on IL with sprained right ankle
28745,07/01/2019,Pelicans,, E'Twaun Moore,placed on IL with bruised left quadricep
28746,07/01/2019,Spurs,, Rudy Gay,placed on IL with sprained left wrist
28747,08/01/2019,76ers,, J.J. Redick,placed on IL with back injury
28748,08/01/2019,76ers, Jimmy Butler,,activated from IL
28749,08/01/2019,76ers, Wilson Chandler,,activated from IL
28750,08/01/2019,Cavaliers,, Rodney Hood,placed on IL with left Achilles injury
28751,08/01/2019,Cavaliers, Ante Zizic,,activated from IL
28752,08/01/2019,Jazz,, Ricky Rubio,placed on IL with strained right hamstring
28753,08/01/2019,Nuggets,, Gary Harris,placed on IL with left hamstring injury
28754,08/01/2019,Pacers, Alize Johnson,,activated from IL
28755,08/01/2019,Pacers, Edmond Sumner,,activated from IL
28756,08/01/2019,Raptors, Kawhi Leonard,,activated from IL
28757,08/01/2019,Suns,, Devin Booker,placed on IL with back spasms
28758,08/01/2019,Warriors,, Shaun Livingston,placed on IL with sore left knee
28759,08/01/2019,Timberwolves, Derrick Rose,,activated from IL
28760,09/01/2019,76ers, J.J. Redick,,activated from IL
28761,09/01/2019,Bucks, D.J. Wilson,,activated from IL
28762,09/01/2019,Cavaliers,, Larry Nance Jr.,placed on IL with sprained MCL in right knee
28763,09/01/2019,Cavaliers, Rodney Hood,,activated from IL
28764,09/01/2019,Mavericks,, Dennis Smith Jr.,placed on IL with back injury
28765,09/01/2019,Mavericks, Salah Mejri,,activated from IL
28766,09/01/2019,Nets, Joe Harris,,activated from IL
28767,09/01/2019,Pelicans, Nikola Mirotic,,activated from IL
28768,09/01/2019,Wizards, Jordan McRae,,activated from IL
28769,10/01/2019,Kings,, Skal Labissiere,placed on IL
28770,10/01/2019,Kings, Iman Shumpert,,activated from IL
28771,10/01/2019,Nuggets, Gary Harris,,activated from IL
28772,10/01/2019,Pistons,, Blake Griffin,placed on IL
28773,10/01/2019,Pistons,, Zaur Pachulia / Zaza Pachulia,placed on IL with right leg injury
28774,10/01/2019,Thunder,, Nerlens Noel,placed on IL with concussion
28775,10/01/2019,Spurs, Rudy Gay,,activated from IL
28776,11/01/2019,76ers,, Joel Embiid,placed on IL with sore left ankle
28777,11/01/2019,Bucks,, Giannis Antetokounmpo,placed on IL with bruised left hip
28778,11/01/2019,Knicks,, Enes Kanter / Enes Freedom,placed on IL with illness
28779,11/01/2019,Nets,, Jared Dudley,placed on IL with left hamstring injury
28780,11/01/2019,Raptors,, Patrick McCaw,placed on IL
28781,11/01/2019,Raptors, Malachi Richardson,,activated from IL
28782,11/01/2019,Warriors,, Jacob Evans,placed on IL
28783,11/01/2019,Warriors, Shaun Livingston,,activated from IL
28784,12/01/2019,Hornets,, (William) Tony Parker,placed on IL
28785,12/01/2019,Jazz,, Raulzinho Neto / Raul Neto,placed on IL with strained left groin
28786,12/01/2019,Magic,, Mohamed Bamba / Mo Bamba,placed on IL with sore left foot
28787,12/01/2019,Magic, Melvin Frazier Jr.,,activated from IL
28788,12/01/2019,Nuggets,, Gary Harris,placed on IL with left hamstring injury
28789,12/01/2019,Nuggets,, Trey Lyles,placed on IL with sprained right wrist
28790,12/01/2019,Nuggets, Will Barton,,returned to lineup
28791,12/01/2019,Pelicans, E'Twaun Moore,,activated from IL
28792,12/01/2019,Pistons, Blake Griffin,,activated from IL
28793,12/01/2019,Spurs,, Rudy Gay,placed on IL with sprained left wrist
28794,12/01/2019,Timberwolves,, Derrick Rose,placed on IL with sprained right ankle
28795,12/01/2019,Pistons, Zaur Pachulia / Zaza Pachulia,,activated from IL
28796,13/01/2019,76ers, Joel Embiid,,activated from IL
28797,13/01/2019,Bucks, Giannis Antetokounmpo,,activated from IL
28798,13/01/2019,Hawks, Taurean Prince,,activated from IL
28799,13/01/2019,Knicks, Frank Ntilikina,,activated from IL
28800,13/01/2019,Mavericks,, Jose Juan Barea / Jose Barea / J.J. Barea,placed on IL with torn right Achilles tendon (out for season)
28801,13/01/2019,Raptors,, C.J. Miles,placed on IL with right hip injury
28802,13/01/2019,Raptors,, Chris Boucher,placed on IL
28803,13/01/2019,Raptors, Patrick McCaw,,activated from IL
28804,13/01/2019,Warriors, Jacob Evans,,activated from IL
28805,14/01/2019,Celtics,, Kyrie Irving,placed on IL with bruised right quadriceps
28806,14/01/2019,Celtics,, Marcus Smart,placed on IL with illness
28807,14/01/2019,Grizzlies,, Kyle Anderson,placed on IL with sprained left ankle
28808,14/01/2019,Hornets, (William) Tony Parker,,activated from IL
28809,14/01/2019,Pistons,, Zaur Pachulia / Zaza Pachulia,placed on IL with right leg injury
28810,14/01/2019,Pistons, Ishmael Smith / Ish Smith,,activated from IL
28811,14/01/2019,Rockets,, Clint Capela,placed on IL with right thumb injury
28812,14/01/2019,Rockets, Isaiah Hartenstein,,activated from IL
28813,14/01/2019,Spurs, Rudy Gay,,activated from IL
28814,15/01/2019,76ers,, Shake Milton,placed on IL
